"Site";"Actinodaphne_borneensis";"Aglaia_rufinervis";"Alangium_javanicum";"Alphonsea_javanica";"Aporosa_elmeri";"Aporosa_grandistipula";"Aporosa_lucida";"Aporosa_nitida";"Archidendron_sabahense";"Artocarpus_dadah";"Baccaurea_kunstleri";"Baccaurea_parviflora";"Baccaurea_stipulata";"Baccaurea_sumatrana";"Baccaurea_tetrandra";"Barringtonia_lanceolata";"Barringtonia_macrostachya";"Barringtonia_sarcostachys";"Beilschmiedia_madang";"Beilschmiedia_maingayi";"Beilschmiedia_micrantha";"Bhesa_paniculata";"Calophyllum_gracilipes";"Calophyllum_tetrapterum";"Canarium_asperum";"Canarium_denticulatum";"Canarium_latistipulatum";"Canarium_odontophyllum";"Canarium_pilosum";"Castanopsis_motleyana";"Chaetocarpus_castanocarpus";"Chionanthus_laxiflorus";"Chisocheton_beccarianus";"Chisocheton_sarawakanus";"Cleistanthus_baramicus";"Cleistanthus_ellipticus";"Cleistanthus_gracilis";"Cleistanthus_myrianthus";"Cleistanthus_paxii";"Cleistanthus_rufescens";"Cleistanthus_sumatranus";"Colubrina_beccariana";"Cotylelobium_melanoxylon";"Crypteronia_griffithii";"Ctenolophon_parvifolius";"Cynometra_inaequifolia";"Dacryodes_laxa";"Dacryodes_rostrata";"Dehaasia_caesia";"Dialium_indum";"Dillenia_excelsa";"Diospyros_curranii";"Diospyros_euphlehia";"Diospyros_fusiformis";"Diospyros_laevigata";"Diospyros_macrophylla";"Diospyros_polyalthioides";"Diospyros_sumatrana";"Dipterocarpus_acutangulus";"Dipterocarpus_applanatus";"Dipterocarpus_caudiferus";"Dipterocarpus_confertus";"Dipterocarpus_grandiflorus";"Dipterocarpus_kunstleri";"Dryobalanops_lanceolata";"Durio_acutifolius";"Durio_grandiflorus";"Dyera_costulata";"Elaeocarpus_pedunculatus";"Elaeocarpus_stipularis";"Endospermum_diadenum";"Enicosanthum_erianthoides";"Eurycoma_longifolia";"Eusideroxylon_zwageri";"Ficus_treubii";"Fordia_splendidissima";"Garcinia_forbesii";"Garcinia_gaudichaudii";"Garcinia_miquelii";"Garcinia_parvifolia";"Garcinia_trianii";"Gardenia_tubifera";"Gironniera_nervosa";"Gluta_oba";"Gluta_sabahana";"Gluta_velutina";"Gluta_wallichii";"Gonystylus_consanguineus";"Gonystylus_stenosepalus";"Gymnacranthera_forbesii";"Gymnacranthera_ocellata";"Helicia_fuscotomentosa";"Heliciopsis_velutina";"Heritiera_sumatrana";"Hopea_beccariana";"Horsfieldia_grandis";"Horsfieldia_polyspherula";"Hydnocarpus_borneensis";"Hydnocarpus_polypetalus";"Hydnocarpus_subfalcata";"Hydnocarpus_woodii";"Ixonanthes_reticulata";"Knema_curtisii";"Knema_latifolia";"Knema_laurina";"Knema_oblongata";"Koompassia_malaccensis";"Lepisanthes_falcata";"Licania_splendens";"Lithocarpus_cantleyanus";"Lithocarpus_conocarpus";"Lithocarpus_gracilis";"Lithocarpus_meijeri";"Lithocarpus_nieuwenhuisii";"Litsea_firma";"Litsea_oppositifolia";"Lophopetalum_beccarianum";"Maclurodendron_porteri";"Madhuca_burckiana";"Madhuca_kingiana";"Madhuca_mindanaensis";"Madhuca_pallida";"Madhuca_sepilokensis";"Magnolia_candollei";"Mallotus_caudatus";"Mallotus_griffithianus";"Mallotus_penangensis";"Mangifera_foetida";"Mangifera_parvifolia";"Memecylon_argenteum";"Memecylon_beccarianum";"Memecylon_floribundum";"Mesua_macrantha";"Microcos_crassifolia";"Mischocarpus_pentapetalus";"Moultonianthus_leembruggianus";"Myristica_cinnamomea";"Myristica_malaccensis";"Palaquium_leiocarpum";"Palaquium_rostratum";"Palaquium_stenophyllum";"Paranephelium_xestophyllum";"Parartocarpus_spinulosus";"Parartocarpus_venenosus";"Parashorea_malaanonan";"Parashorea_tomentella";"Parishia_insignis";"Pentace_borneensis";"Pentace_laxiflora";"Pimelodendron_griffithianum";"Polyalthia_lateriflora";"Polyalthia_sumatrana";"Polyalthia_xanthopetala";"Pternandra_caerulescens";"Ptychopyxis_arborea";"Rhodamnia_cinerea";"Ryparosa_hirsuta";"Saraca_declinata";"Sarcotheca_diversifolia";"Sarcotheca_glauca";"Scaphium_macropodum";"Shorea_agami";"Shorea_almon";"Shorea_beccariana";"Shorea_falciferoides";"Shorea_johorensis";"Shorea_leprosula";"Shorea_macroptera";"Shorea_mecistopteryx";"Shorea_multiflora";"Shorea_smithiana";"Shorea_xanthophylla";"Sindora_irpicina";"Stemonurus_grandifolius";"Sympetalandra_borneensis";"Symplocos_crassipes";"Syzygium_caudatilimbum";"Syzygium_clavatum";"Syzygium_lineatum";"Syzygium_myrtillus";"Syzygium_napiforme";"Syzygium_tawahense";"Teijsmanniodendron_glabrum";"Teijsmanniodendron_holophyllum";"Teijsmanniodendron_pteropodum";"Trigonopleura_malayana";"Tristaniopsis_merguensis";"Urophyllum_glabrum";"Vatica_micrantha";"Vatica_oblongifolia";"Vatica_rassak";"Xanthophyllum_affine";"Xanthophyllum_heterophyllum";"Xanthophyllum_rufum";"Xylopia_dehiscens";"Xylopia_ferruginea";"Xylopia_stenopetala"
"292-11_K";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_L";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_M";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_N";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_O";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_P";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_Q";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"292-11_R";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_S";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292-11_T";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"292-11_U";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"292-11_V";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
